"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,2,"04208",D,14,5,4,0,2,3
2021,2,"04208",F1,11,6,3,0,0,2
2021,2,"04208",LE1,53,29,14,0,3,7
2021,2,"04208",M1,10,8,2,0,0,0
2021,2,"04208",N1,13,9,1,0,1,2
2021,2,"04208",N10,11,7,2,0,0,2
2021,2,"04208",N11,11,7,2,0,0,2
2021,2,"04208",N12,8,2,2,0,1,3
2021,2,"04208",N13,13,5,4,0,1,3
2021,2,"04208",N2,11,6,2,0,2,1
2021,2,"04208",N3,8,2,4,0,0,2
2021,2,"04208",N4,15,8,4,0,1,2
2021,2,"04208",N5,10,5,3,0,1,1
2021,2,"04208",N6,10,5,3,0,1,1
2021,2,"04208",N7,6,2,2,0,1,1
2021,2,"04208",N8,3,1,1,0,0,1
2021,2,"04208",P1,10,9,0,0,0,1
2021,2,"04208",P2,6,4,2,0,0,0
2021,2,"04208",P3,6,2,2,0,1,1
2021,2,"04208",P4,5,2,0,0,1,2
2021,2,"04208",P5,6,5,0,0,1,0
2021,2,"04208",P6,9,8,0,0,0,1
2021,2,"04208",P7,11,10,0,0,0,1
2021,2,"04208",P8,12,7,1,0,1,3
2021,2,"04208",TF1,14,8,2,0,0,4
2021,2,"04208",TF2,11,9,2,0,0,0
2021,2,"04208",V1,11,7,1,0,1,2
2021,2,"04208",V2,13,9,1,0,0,3
2021,2,"04209",AD3,17,10,5,0,1,1
2021,2,"04210",AD1,47,35,6,0,5,1
2021,2,"04211",AD3,16,14,1,0,0,1
2021,2,"04212",AD1,50,44,5,0,1,0
2021,2,"04213",AD1,46,38,5,0,2,1
2021,2,"04214",AD1,50,34,11,0,3,2
2021,2,"04215",AD1,51,42,8,0,1,0
2021,2,"04216",AD3,22,19,2,0,0,1
2021,2,"04217",AD3,18,14,2,0,1,1
2021,2,"04218",AD3,15,14,1,0,0,0
2021,2,"04219",AD1,48,25,18,0,2,3
2021,2,"04221",AD3,6,6,0,0,0,0
2021,2,"04222",AD3,11,7,3,0,0,1
2021,2,"04227",AD1,51,47,3,0,1,0
2021,2,"04231",SI1,42,24,12,0,0,6
2021,2,"04233",AD1,25,15,7,0,1,2
2021,2,"04234",AD1,41,34,6,0,0,1
2021,2,"04235",SP3,11,9,2,0,0,0
2021,2,"04237",AD1,36,32,4,0,0,0
2021,2,"04240",SZ1,16,14,1,0,0,1
2021,2,"04241",CC3,36,27,7,0,1,1
2021,2,"04243",AD3,9,6,2,0,0,1
2021,2,"04246",AD3,14,11,3,0,0,0
2021,2,"04247","02",26,16,10,0,0,0
2021,2,"04249",SI1,37,20,8,0,3,6
2021,2,"04304",AM1,38,26,8,0,0,4
2021,2,"04304",HT1,47,33,14,0,0,0
2021,2,"04304",LC1,44,29,12,0,1,2
2021,2,"04304",LF3,41,21,18,0,1,1
2021,2,"04304",LM1,44,26,13,0,2,3
2021,2,"04304",LM3,41,26,10,0,2,3
2021,2,"04304",LQ1,42,24,15,0,0,3
2021,2,"04304",SR1,49,22,25,0,1,1
2021,2,"04308",LP1,6,1,4,0,1,0
2021,2,"04309",AD1,54,26,18,0,4,6
2021,2,"04312",GS1,30,20,5,0,2,3
2021,2,"04316",GS1,21,18,1,0,1,1
2021,2,"04317",GS3,20,10,0,0,2,8
